matchid,NAME_ENGLI,Country,Cannot meet both population growth & undernourished from FOOD,Cannot meet ONLY population growth from FOOD,Cannot meet ONLY undernourished from FOOD,CAN meet both population growth & undernourished from FOOD,Cannot meet both population growth & undernourished from TOTAL,Cannot meet ONLY population growth from TOTAL,Cannot meet ONLY undernourished from TOTAL,CAN meet both population growth & undernourished from TOTAL
136,Malaysia,Malaysia,1,0,0,0,0,0,0,4
138,Mali,Mali,0,2,0,0,0,2,0,0
142,Mauritania,Mauritania,1,0,0,0,1,0,0,0
145,Mexico,Mexico,1,0,0,0,0,0,0,4
149,Mongolia,Mongolia,0,2,0,0,0,2,0,0
152,Morocco,Morocco,1,0,0,0,0,2,0,0
153,Mozambique,Mozambique,1,0,0,0,0,2,0,0
154,Myanmar,Myanmar,0,2,0,0,0,0,0,4
155,Namibia,Namibia,1,0,0,0,1,0,0,0
157,Nepal,Nepal,0,2,0,0,0,0,0,4
161,Nicaragua,Nicaragua,0,0,0,4,0,0,0,4
163,Nigeria,Nigeria,1,0,0,0,0,2,0,0
171,Pakistan,Pakistan,1,0,0,0,0,2,0,0
174,Panama,Panama,1,0,0,0,0,2,0,0
177,Paraguay,Paraguay,1,0,0,0,0,0,0,4
178,Peru,Peru,0,2,0,0,0,0,0,4
179,Philippines,Philippines,0,0,0,4,0,0,0,4
189,Rwanda,Rwanda,0,0,0,4,0,0,0,4
200,Saudi Arabia,Saudi Arabia,1,0,0,0,1,0,0,0
201,Senegal,Senegal,0,2,0,0,0,2,0,0
204,Sierra Leone,Sierra Leone,0,0,0,4,0,0,0,4
207,Slovakia,Slovakia,0,0,3,0,0,0,3,0
210,Somalia,Somalia,1,0,0,0,1,0,0,0
211,South Africa,South Africa,1,0,0,0,1,0,0,0
217,Sri Lanka,Sri Lanka,0,0,0,4,0,0,0,4
218,Sudan,Sudan,1,0,0,0,1,0,0,0
214,South Sudan,Sudan,1,0,0,0,1,0,0,0
228,Thailand,Thailand,0,0,0,4,0,0,0,4
230,Togo,Togo,1,0,0,0,1,0,0,0
234,Tunisia,Tunisia,0,2,0,0,0,0,0,4
236,Turkmenistan,Turkmenistan,1,0,0,0,0,0,0,4
241,United Arab Emirates,United Arab Emirates,1,0,0,0,0,2,0,0
227,Tanzania,United Republic of Tanzania,1,0,0,0,1,0,0,0
249,Venezuela,Venezuela (Bolivarian Republic of),0,0,3,0,0,0,0,4
250,Vietnam,Viet Nam,0,2,0,0,0,0,0,4
254,Yemen,Yemen,1,0,0,0,1,0,0,0
5,Algeria,Algeria,0,2,0,0,0,0,0,4
15,Australia,Australia,0,2,0,0,0,0,0,4
16,Austria,Austria,0,2,0,0,0,2,0,0
17,Azerbaijan,Azerbaijan,0,2,0,0,0,0,0,4
18,Bahamas,Bahamas,0,2,0,0,0,2,0,0
21,Barbados,Barbados,0,2,0,0,0,2,0,0
22,Belarus,Belarus,0,0,0,4,0,0,0,4
23,Belgium,Belgium,0,2,0,0,0,0,0,4
24,Belize,Belize,0,2,0,0,0,2,0,0
27,Bhutan,Bhutan,0,2,0,0,0,2,0,0
33,Brazil,Brazil,0,0,0,4,0,0,0,4
36,Brunei,Brunei Darussalam,0,2,0,0,0,0,0,4
42,Canada,Canada,0,2,0,0,0,0,0,4
49,China,China mainland,0,2,0,0,0,0,0,4
54,Comoros,Comoros,0,2,0,0,0,2,0,0
59,Cuba,Cuba,0,0,0,4,0,2,0,0
61,Cyprus,Cyprus,0,2,0,0,0,2,0,0
62,Czech Republic,Czechia,0,2,0,0,0,0,0,4
64,Denmark,Denmark,0,0,0,4,0,0,0,4
67,Dominica,Dominica,0,2,0,0,0,2,0,0
71,Equatorial Guinea,Equatorial Guinea,0,2,0,0,0,2,0,0
72,Eritrea,Eritrea,0,2,0,0,0,2,0,0
73,Estonia,Estonia,0,0,0,4,0,0,0,4
77,Fiji,Fiji,0,2,0,0,0,2,0,0
78,Finland,Finland,0,0,0,4,0,0,0,4
79,France,France,0,0,0,4,0,0,0,4
81,French Polynesia,French Polynesia,0,2,0,0,0,2,0,0
86,Germany,Germany,0,0,0,4,0,0,0,4
89,Greece,Greece,0,2,0,0,0,2,0,0
91,Grenada,Grenada,0,2,0,0,0,2,0,0
97,Guinea,Guinea,0,2,0,0,0,0,0,4
96,Guinea-Bissau,Guinea-Bissau,0,2,0,0,0,2,0,0
98,Guyana,Guyana,0,0,0,4,0,2,0,0
103,Hungary,Hungary,0,0,0,4,0,0,0,4
109,Ireland,Ireland,0,2,0,0,0,0,0,4
111,Israel,Israel,0,2,0,0,0,2,0,0
112,Italy,Italy,0,0,0,4,0,0,0,4
114,Japan,Japan,0,0,0,4,0,0,0,4
117,Kazakhstan,Kazakhstan,0,2,0,0,0,0,0,4
121,Kuwait,Kuwait,0,2,0,0,0,2,0,0
124,Latvia,Latvia,0,2,0,0,0,0,0,4
128,Libya,Libya,0,2,0,0,0,2,0,0
130,Lithuania,Lithuania,0,2,0,0,0,0,0,4
139,Malta,Malta,0,0,0,4,0,0,0,4
143,Mauritius,Mauritius,0,2,0,0,0,2,0,0
158,Netherlands,Netherlands,0,2,0,0,0,0,0,4
160,New Zealand,New Zealand,0,2,0,0,0,2,0,0
162,Niger,Niger,0,2,0,0,0,2,0,0
169,Norway,Norway,0,2,0,0,0,2,0,0
181,Poland,Poland,0,2,0,0,0,0,0,4
182,Portugal,Portugal,0,0,0,4,0,2,0,0
183,Puerto Rico,Puerto Rico,0,0,0,4,0,0,0,4
184,Qatar,Qatar,0,2,0,0,0,2,0,0
213,South Korea,Republic of Korea,0,2,0,0,0,2,0,0
147,Moldova,Republic of Moldova,0,0,0,4,0,0,0,4
187,Romania,Romania,0,2,0,0,0,2,0,0
188,Russia,Russian Federation,0,0,0,4,0,0,0,4
215,Spain,Spain,0,2,0,0,0,2,0,0
219,Suriname,Suriname,0,2,0,0,0,0,0,4
222,Sweden,Sweden,0,2,0,0,0,2,0,0
223,Switzerland,Switzerland,0,2,0,0,0,2,0,0
224,Syria,Syrian Arab Republic,0,2,0,0,0,2,0,0
226,Tajikistan,Tajikistan,0,2,0,0,0,0,0,4
235,Turkey,Turkey,0,2,0,0,0,2,0,0
239,Uganda,Uganda,0,2,0,0,0,2,0,0
240,Ukraine,Ukraine,0,2,0,0,0,0,0,4
242,United Kingdom,United Kingdom of Great Britain and Northern Ireland,0,2,0,0,0,2,0,0
244,United States,United States of America,0,2,0,0,0,0,0,4
245,Uruguay,Uruguay,0,0,0,4,0,0,0,4
246,Uzbekistan,Uzbekistan,0,2,0,0,0,0,0,4
255,Zambia,Zambia,0,2,0,0,0,0,0,4
256,Zimbabwe,Zimbabwe,0,2,0,0,0,2,0,0
